format_version	1
model_id	Qwen/Qwen3-30B-A3B
revision	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39
root_manifest_sha256	f133d733612840ad691d637732d4ef2de1e0242c4bb1d92521b49dfcfb1b8cd2
payload	dense/dense-f32.bin	6164373504	bfad7fdc0f8611537ca5751f8e7140c35cf72bb4e67934b02d99711c89640893
tensor	model.layers.39.self_attn.k_norm.weight	5016978432	512	128
tensor	model.layers.39.post_attention_layernorm.weight	5016970240	8192	2048
tensor	model.layers.39.mlp.gate.weight	5015921664	1048576	128,2048
tensor	model.layers.40.input_layernorm.weight	5169040384	8192	2048
tensor	model.layers.40.self_attn.q_proj.weight	5207855104	33554432	4096,2048
tensor	model.layers.40.self_attn.k_proj.weight	5170105856	4194304	512,2048
tensor	model.layers.40.self_attn.v_proj.weight	5241409536	4194304	512,2048
tensor	model.layers.40.self_attn.o_proj.weight	5174300160	33554432	2048,4096
tensor	model.layers.40.self_attn.q_norm.weight	5207854592	512	128
tensor	model.layers.40.self_attn.k_norm.weight	5170105344	512	128
tensor	model.layers.40.post_attention_layernorm.weight	5170097152	8192	2048
tensor	model.layers.40.mlp.gate.weight	5169048576	1048576	128,2048
tensor	model.layers.41.input_layernorm.weight	5245603840	8192	2048
tensor	model.layers.41.self_attn.q_proj.weight	5284418560	33554432	4096,2048
tensor	model.layers.41.self_attn.k_proj.weight	5246669312	4194304	512,2048
tensor	model.layers.41.self_attn.v_proj.weight	5317972992	4194304	512,2048
tensor	model.layers.41.self_attn.o_proj.weight	5250863616	33554432	2048,4096
tensor	model.layers.41.self_attn.q_norm.weight	5284418048	512	128
tensor	model.layers.41.self_attn.k_norm.weight	5246668800	512	128
tensor	model.layers.41.post_attention_layernorm.weight	5246660608	8192	2048
tensor	model.layers.41.mlp.gate.weight	5245612032	1048576	128,2048
tensor	model.layers.42.input_layernorm.weight	5322167296	8192	2048
tensor	model.layers.42.self_attn.q_proj.weight	5360982016	33554432	4096,2048
